Month,Total Revenue $,Booked Sales $,Material / COGS $,Direct Labor $,G&A / Overhead $,# Leads,Prior-Yr # Leads,Marketing Spend $,# Ad Clicks,# Estimates,# Orders,# New Customers,Signs & Wraps Sales $,Marketing Sales $,Top Industry,Top Product/Service
January,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,
November,,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,
